model,threshold,input_t1,output_t1,input_t2,output_t2
accounts/fireworks/models/qwen3-235b-a22b-instruct-2507,0,2.2e-07,8.8e-07,,
accounts/fireworks/models/qwen3-235b-a22b-thinking-2507,0,2.2e-07,8.8e-07,,
accounts/fireworks/models/qwen3-30b-a3b,0,1.5e-07,6e-07,,
accounts/fireworks/models/qwen3-30b-a3b-instruct-2507,0,5e-07,5e-07,,
accounts/fireworks/models/qwen3-30b-a3b-thinking-2507,0,9e-07,9e-07,,
accounts/fireworks/models/qwen3-32b,0,9e-07,9e-07,,
accounts/fireworks/models/qwen3-4b,0,2e-07,2e-07,,
accounts/fireworks/models/qwen3-4b-instruct-2507,0,2e-07,2e-07,,
accounts/fireworks/models/qwen3-8b,0,2e-07,2e-07,,
accounts/fireworks/models/qwen3-coder-30b-a3b-instruct,0,1.5e-07,6e-07,,
accounts/fireworks/models/qwen3-coder-480b-a35b-instruct,0,4.5e-07,1.8e-06,,
accounts/fireworks/models/qwen3-coder-480b-instruct-bf16,0,9e-07,9e-07,,
accounts/fireworks/models/qwen3-embedding-0p6b,0,0,0,,
accounts/fireworks/models/qwen3-embedding-4b,0,0,0,,
accounts/fireworks/models/qwen3-next-80b-a3b-instruct,0,9e-07,9e-07,,
accounts/fireworks/models/qwen3-next-80b-a3b-thinking,0,9e-07,9e-07,,
accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,0,2.2e-07,8.8e-07,,
accounts/fireworks/models/qwen3-vl-235b-a22b-thinking,0,2.2e-07,8.8e-07,,
accounts/fireworks/models/qwen3-vl-30b-a3b-instruct,0,1.5e-07,6e-07,,
accounts/fireworks/models/qwen3-vl-30b-a3b-thinking,0,1.5e-07,6e-07,,
accounts/fireworks/models/qwen3-vl-32b-instruct,0,9e-07,9e-07,,
accounts/fireworks/models/qwen3-vl-8b-instruct,0,2e-07,2e-07,,
accounts/fireworks/models/qwq-32b,0,9e-07,9e-07,,
accounts/fireworks/models/rolm-ocr,0,2e-07,2e-07,,
accounts/fireworks/models/snorkel-mistral-7b-pairrm-dpo,0,2e-07,2e-07,,
accounts/fireworks/models/stablecode-3b,0,1e-07,1e-07,,
accounts/fireworks/models/starcoder-16b,0,2e-07,2e-07,,
accounts/fireworks/models/starcoder-7b,0,2e-07,2e-07,,
accounts/fireworks/models/starcoder2-15b,0,2e-07,2e-07,,
accounts/fireworks/models/starcoder2-3b,0,1e-07,1e-07,,
accounts/fireworks/models/starcoder2-7b,0,2e-07,2e-07,,
accounts/fireworks/models/toppy-m-7b,0,2e-07,2e-07,,
accounts/fireworks/models/yi-34b,0,9e-07,9e-07,,
accounts/fireworks/models/yi-34b-200k-capybara,0,9e-07,9e-07,,
accounts/fireworks/models/yi-34b-chat,0,9e-07,9e-07,,
accounts/fireworks/models/yi-6b,0,2e-07,2e-07,,
accounts/fireworks/models/yi-large,0,3e-06,3e-06,,
accounts/fireworks/models/zephyr-7b-beta,0,2e-07,2e-07,,
glm-4p7,0,6e-07,2.2e-06,,
kimi-k2p5,0,6e-07,3e-06,,
minimax-m2p1,0,3e-07,1.2e-06,,
nomic-ai/nomic-embed-text-v1,0,8e-09,0,,
nomic-ai/nomic-embed-text-v1.5,0,8e-09,0,,
thenlper/gte-base,0,8e-09,0,,
thenlper/gte-large,0,1.6e-08,0,,
